,cardname,text,cmc,type
0,Ajani's Welcome,"Whenever a creature enters the battlefield under your control, you gain 1 life.",1.0,Enchantment
1,Jadelight Ranger,"When Jadelight Ranger enters the battlefield, it explores, then it explores again. (Reveal the top card of your library. Put that card into your hand if it's a land. Otherwise, put a +1/+1 counter on this creature, then put the card back or put it into your graveyard. Then repeat this process.)",3.0,Creature — Merfolk Scout Ranger
2,Academy Loremaster,"At the beginning of each player's draw step, that player may draw an additional card. If they do, spells they cast this turn cost {2} more to cast.",2.0,Creature — Human Wizard
3,Merchant's Dockhand,"{3}{U}, {T}, Tap X untapped artifacts you control: Look at the top X cards of your library. Put one of them into your hand and the rest on the bottom of your library in any order.",1.0,Artifact Creature — Construct
4,An-Havva Constable,An-Havva Constable's toughness is equal to 1 plus the number of green creatures on the battlefield.,3.0,Creature — Human
5,Llanowar Cavalry,{W}: Llanowar Cavalry gains vigilance until end of turn.,3.0,Creature — Human Soldier
6,Orzhov Charm,"Choose one —
• Return target creature you control and all Auras you control attached to it to their owner's hand.
• Destroy target creature and you lose life equal to its toughness.
• Return target creature card with mana value 1 or less from your graveyard to the battlefield.",2.0,Instant
7,Icatian Store,"Icatian Store enters the battlefield tapped.
You may choose not to untap Icatian Store during your untap step.
At the beginning of your upkeep, if Icatian Store is tapped, put a storage counter on it.
{T}, Remove any number of storage counters from Icatian Store: Add {W} for each storage counter removed this way.",0.0,Land
8,Havoc Demon,"Flying
When Havoc Demon dies, all creatures get -5/-5 until end of turn.",7.0,Creature — Demon
9,Foul-Tongue Shriek,Target opponent loses 1 life for each attacking creature you control. You gain that much life.,1.0,Instant
10,Hydrosurge,Target creature gets -5/-0 until end of turn.,1.0,Instant
11,Daggerdrome Imp,"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)",2.0,Creature — Imp
12,Gallows Warden,"Flying
Other Spirit creatures you control get +0/+1.",5.0,Creature — Spirit
13,Dusk Urchins,"Whenever Dusk Urchins attacks or blocks, put a -1/-1 counter on it.
When Dusk Urchins dies, draw a card for each -1/-1 counter on it.",3.0,Creature — Ouphe
